Fragment_length Count Normalized_Frequency Reference_Normalised_Freq	Sampling_Lines
188 20597 0.001531 0.005145892685233246	22607
189 19410 0.001443 0.0048044684378521114	21107
190 17804 0.001324 0.004440611096261155	19508
191 15742 0.001170 0.004089348903350089	17965
192 14483 0.001077 0.003769118002103367	16558
193 13867 0.001031 0.0034924915304557083	15343
194 13029 0.000969 0.003251829187148279	14285
195 12381 0.000920 0.0030476013446639216	13388
196 11657 0.000867 0.0028731184515936557	12622
197 10855 0.000807 0.0027220944392143303	11958
198 10000 0.000743 0.0025814617853863785	11340
199 9318 0.000693 0.0024392575071824516	10716
200 8385 0.000623 0.002294983218444035	10082
201 8035 0.000597 0.002145895865785923	9427
202 7707 0.000573 0.0020012276704650957	8791
203 7015 0.000521 0.0018703296260063058	8216
204 6999 0.000520 0.0017518121969254472	7696
205 6310 0.000469 0.001643901946040172	7222
206 6289 0.000468 0.0015486828907228056	6803
207 5709 0.000424 0.001461865508349506	6422
208 5825 0.000433 0.0013809068432184403	6066
209 5154 0.000383 0.0013028040008098518	5723
210 5126 0.000381 0.0012267763143047545	5389
211 4629 0.000344 0.0011503478607252451	5053
212 4290 0.000319 0.0010770142036729267	4731
213 4141 0.000308 0.0010078512969766776	4427
214 3813 0.000283 0.0009431225549439657	4143
215 3649 0.000271 0.0008836651005258724	3882
216 3582 0.000266 0.0008313322670511783	3652
217 3361 0.000250 0.0007827995744375639	3439
218 3127 0.000232 0.0007386627420738127	3245
219 3032 0.000225 0.0006966152153783052	3060
220 3252 0.000242 0.0006595009541394332	2897
221 2775 0.000206 0.0006262064147492279	2751
222 2595 0.000193 0.0005946311432399436	2612
223 2698 0.000201 0.0005620438062335439	2469
224 2706 0.000201 0.000530993219435446	2332
225 2466 0.000183 0.0004991255194546044	2192
226 2243 0.000167 0.0004699407006270396	2064
227 2211 0.000164 0.000442155708021583	1942
228 2269 0.000169 0.0004196675869488333	1843
229 2104 0.000156 0.00039947601557353466	1754
230 2066 0.000154 0.0003843097545892229	1688
231 2074 0.000154 0.00037422454549340895	1644
232 1913 0.000142 0.00036588576039268804	1607
233 1993 0.000148 0.00035544523498197097	1561
234 1892 0.000141 0.00034088498412444487	1497
235 1804 0.000134 0.00032252559289425604	1416
236 1708 0.000127 0.00030468531222550247	1338
237 1674 0.000124 0.0002886373350921009	1268
238 1693 0.000126 0.0002754095918789198	1209
239 1694 0.000126 0.0002651011309392287	1164
240 1575 0.000117 0.0002583132458115623	1134
241 1471 0.000109 0.0002552796220047166	1121
242 1441 0.000107 0.000255395535734156	1122
243 1428 0.000106 0.00025652723106054493	1126
244 1397 0.000104 0.00025563022173136874	1123
245 1612 0.000120 0.00024958855803576557	1096
246 1422 0.000106 0.00024059902668333353	1057
247 1312 0.000098 0.00023067832646863522	1013
248 1304 0.000097 0.00022192762599400006	974
249 1350 0.000100 0.00021392657719742877	939
250 1306 0.000097 0.00020850607388178091	916
251 1346 0.000100 0.0002059058044863536	904
252 1391 0.000103 0.0002062774144697599	906
253 1285 0.000096 0.00020873318475240886	917
254 1288 0.000096 0.00021186700032785764	930
255 1204 0.000090 0.00021335587001906667	937
256 1428 0.000106 0.00021059366442702422	925
257 1220 0.000091 0.0002065441160963123	907
258 1078 0.000080 0.00020134343437854094	884
259 1193 0.000089 0.0001961323189958509	861
260 1257 0.000093 0.00019130624872673645	840
261 1201 0.000089 0.00018877872913190675	829
262 1143 0.000085 0.0001897710707145183	833
263 1257 0.000093 0.0001941121899552875	852
264 1204 0.000090 0.00020044785431853174	880
265 983 0.000073 0.0002045294182785833	898
266 1077 0.000080 0.0002062612637281734	906
267 1120 0.000083 0.00020552690523019585	902
268 1207 0.000090 0.0002043474723136309	897
269 1087 0.000081 0.00020386780958120336	895
270 961 0.000071 0.00020405175652298948	896
271 1131 0.000084 0.0002064404940817086	906
272 1066 0.000079 0.00021386440398866655	939
273 1119 0.000083 0.0002266936669581027	995
274 1187 0.000088 0.00023821957937419957	1046
275 1089 0.000081 0.0002441257483527761	1072
276 984 0.000073 0.0002437001119948592	1070
277 1072 0.000080 0.00024009549515581797	1054
278 958 0.000071 0.0002383193423620525	1046
279 1125 0.000084 0.00023891806321608674	1049
280 942 0.000070 0.00024260529181297752	1065
281 1134 0.000084 0.0002508956246889389	1102
282 967 0.000072 0.00026445195688360124	1161
283 968 0.000072 0.00028239943273987585	1240
284 976 0.000073 0.00030300134729300507	1331
285 945 0.000070 0.0003207440088776562	1409
286 940 0.000070 0.0003290270524808662	1445
287 1012 0.000075 0.00033166562628996767	1457
288 1068 0.000079 0.0003338292539548926	1466
289 970 0.000072 0.00033992751670950685	1493
290 1010 0.000075 0.0003517155570908219	1545
291 939 0.000070 0.00036672359797835255	1611
292 935 0.000070 0.0003818285433154023	1677
293 923 0.000069 0.00039695778622829013	1743
294 1036 0.000077 0.0004114430004545515	1807
295 979 0.000073 0.0004268732474539984	1875
296 1032 0.000077 0.00044421328391432044	1951
297 1116 0.000083 0.0004623301281668783	2031
298 1013 0.000075 0.00048220983300994904	2118
299 929 0.000069 0.0005045706061999237	2216
300 1068 0.000079 0.0005254256443225193	2308
301 936 0.000070 0.0005398676946199389	2371
302 1016 0.000076 0.0005449969128793629	2394
303 1141 0.000085 0.0005451987256857359	2395
304 994 0.000074 0.0005465869748275918	2401
305 970 0.000072 0.0005540937823462327	2434
306 983 0.000073 0.0005675506374068754	2493
307 925 0.000069 0.0005845698029392178	2568
308 1050 0.000078 0.0006065701144452883	2664
309 962 0.000072 0.0006289703354642707	2763
310 971 0.000072 0.0006490761506895526	2851
311 936 0.000070 0.0006618736838834825	2907
312 1029 0.000076 0.0006594727975368443	2897
313 1059 0.000079 0.0006456956432558886	2836
314 980 0.000073 0.0006312610251581372	2773
315 1060 0.000079 0.000624416398044543	2743
316 901 0.000067 0.00062022549499322	2724
317 915 0.000068 0.0006178228935235815	2714
318 897 0.000067 0.0006176958314946399	2713
319 904 0.000067 0.000617147992622949	2711
320 827 0.000061 0.0006177785861794062	2714
321 964 0.000072 0.0006171578545802009	2711
322 914 0.000068 0.0006148957502696733	2701
323 862 0.000064 0.0006133337019971166	2694
324 857 0.000064 0.00061009211952648	2680
325 771 0.000057 0.00060681652044967	2665
326 845 0.000063 0.0006027298111206175	2647
327 858 0.000064 0.000595027050799188	2614
328 798 0.000059 0.0005884569862925644	2585
329 1033 0.000077 0.0005816406587084758	2555
330 816 0.000061 0.0005767605620648508	2533
331 893 0.000066 0.0005735362737511342	2519
332 819 0.000061 0.0005715584510779125	2510
333 760 0.000056 0.0005704497669851115	2506
334 774 0.000058 0.0005669637794869268	2490
335 842 0.000063 0.0005642573153923953	2478
336 773 0.000057 0.0005606302590274331	2462
337 780 0.000058 0.0005556039481480293	2440
338 842 0.000063 0.0005493024433178751	2413
339 823 0.000061 0.0005425950260443079	2383
340 623 0.000046 0.0005385662021165166	2366
341 685 0.000051 0.000529253370078521	2325
342 734 0.000055 0.000525981058320795	2310
343 645 0.000048 0.0005198932292310995	2284
344 689 0.000051 0.0005168213010105796	2270
345 695 0.000052 0.0005142794887240804	2259
346 600 0.000045 0.000509036214785134	2236
347 771 0.000057 0.0005042840377319507	2215
348 628 0.000047 0.0004983378492166997	2189
349 619 0.000046 0.000491782363255579	2160
350 591 0.000044 0.0004842421108384315	2127
351 579 0.000043 0.0004781985890929113	2100
352 611 0.000045 0.00047134510051048207	2070
353 677 0.000050 0.00046528285533887484	2044
354 561 0.000042 0.00046120500747865736	2026
355 569 0.000042 0.0004551298988845476	1999
356 501 0.000037 0.0004496462218717207	1975
357 536 0.000040 0.0004437880763371536	1949
358 549 0.000041 0.00043707022539866763	1920
359 567 0.000042 0.000429824545356828	1888
360 540 0.000040 0.0004223344602874404	1855
361 491 0.000036 0.0004137378350290021	1817
362 473 0.000035 0.00040577237503468787	1782
363 512 0.000038 0.0003973971435702097	1745
364 598 0.000044 0.00038959733587234463	1711
365 547 0.000041 0.00038125197613345574	1674
366 483 0.000036 0.00037312172140419237	1639
367 551 0.000041 0.00036457326251668025	1601
368 505 0.000038 0.0003569105217319254	1567
369 508 0.000038 0.0003485621605277859	1531
370 496 0.000037 0.0003404041779766838	1495
371 492 0.000037 0.0003314105017436676	1455
372 479 0.000036 0.00032233249862980145	1416
373 568 0.000042 0.000312935339710956	1374
374 614 0.000046 0.0003038912102763465	1335
375 527 0.000039 0.0002941637472530195	1292
376 572 0.000043 0.0002847837395641774	1251
377 532 0.000040 0.00027550106510560444	1210
378 561 0.000042 0.0002670034882004356	1173
379 519 0.000039 0.0002581730345062848	1134
380 545 0.000041 0.0002499814641297594	1098
381 470 0.000035 0.0002418807952722519	1062
382 511 0.000038 0.00023383286644700473	1027
383 494 0.000037 0.00022582081227784796	992
384 484 0.000036 0.00021797784065114104	957
385 494 0.000037 0.00020974224878427368	921
386 439 0.000033 0.00020158483794083837	885
387 529 0.000039 0.0001932489113784513	848
388 489 0.000036 0.00018602567086253277	817
389 500 0.000037 0.00017871753175809755	785
390 475 0.000035 0.00017178857776365346	754
391 507 0.000038 0.00016543018802065476	726
392 460 0.000034 0.0001595134424502428	700
393 473 0.000035 0.00015391199365805944	676
394 466 0.000035 0.00014843246152581666	652
395 475 0.000035 0.00014234434658228772	625
396 482 0.000036 0.0001365107844773921	599
397 508 0.000038 0.00013047155053937272	573
398 482 0.000036 0.0001251047877444021	549
399 543 0.000040 0.000120085194430083	527
400 429 0.000032 0.00011504173232067587	505
401 514 0.000038 0.00011038260069026088	484
402 471 0.000035 0.0001062014166692731	466
403 441 0.000033 0.00010263896327065682	450
404 476 0.000035 9.941281690702324e-05	436
405 443 0.000033 9.588709572599751e-05	421
406 491 0.000036 9.243912678765371e-05	406
407 485 0.000036 8.888424851562225e-05	390
408 425 0.000032 8.568068460482645e-05	376
409 467 0.000035 8.23266186507511e-05	361
410 439 0.000033 7.90141444294339e-05	347
411 492 0.000037 7.610086508644511e-05	334
412 489 0.000036 7.348501665709807e-05	322
413 450 0.000033 7.15726545117225e-05	314
414 488 0.000036 6.986996615313812e-05	306
415 446 0.000033 6.781482001798452e-05	297
416 399 0.000030 6.575381387924643e-05	288
417 450 0.000033 6.385245710645636e-05	280
418 439 0.000033 6.21220409260332e-05	272
419 460 0.000034 6.034074276326672e-05	265
420 422 0.000031 5.8395936207801454e-05	256
421 433 0.000032 5.659791559578168e-05	248
422 458 0.000034 5.535488020128757e-05	243
423 436 0.000032 5.440841815893503e-05	239
424 490 0.000036 5.317338667177582e-05	233
425 451 0.000034 5.210072016198183e-05	228
426 419 0.000031 5.101090242218447e-05	224
427 435 0.000032 5.008387844050242e-05	220
428 437 0.000032 4.9391397529116425e-05	216
429 431 0.000032 4.8536980421115296e-05	213
430 412 0.000031 4.774116334895901e-05	209
431 439 0.000033 4.687416867228875e-05	205
432 440 0.000033 4.643209571895193e-05	203
433 444 0.000033 4.635520103777016e-05	203
434 452 0.000034 4.6418231808032535e-05	203
435 398 0.000030 4.671909296767496e-05	205
436 433 0.000032 4.669636758792049e-05	205
437 442 0.000033 4.638993227852698e-05	203
438 486 0.000036 4.59687266550276e-05	201
439 452 0.000034 4.513188955777992e-05	198
440 399 0.000030 4.413483138691744e-05	193
441 408 0.000030 4.3356880179348e-05	190
442 409 0.000030 4.296797603902162e-05	188
443 449 0.000033 4.3095038067963244e-05	189
444 403 0.000030 4.351324222621204e-05	191
445 441 0.000033 4.390386148953875e-05	192
446 438 0.000033 4.446070475698144e-05	195
447 424 0.000032 4.5004684601921605e-05	197
448 426 0.000032 4.511931198911078e-05	198
449 400 0.000030 4.485789865847611e-05	197
450 391 0.000029 4.388685318645208e-05	192
451 365 0.000027 4.344806755219924e-05	190
452 385 0.000029 4.368175306099513e-05	191
453 399 0.000030 4.4589338982006706e-05	195
454 373 0.000028 4.616153506564879e-05	202
455 373 0.000028 4.746803001115537e-05	208
456 387 0.000029 4.859257899170955e-05	213
457 378 0.000028 4.840834619609003e-05	212
458 368 0.000027 4.781562827255697e-05	210
459 343 0.000025 4.688646038712449e-05	205
460 352 0.000026 4.585810122150587e-05	201
461 381 0.000028 4.5276388670558294e-05	198
462 392 0.000029 4.492621772465619e-05	197
463 391 0.000029 4.519263349737518e-05	198
464 421 0.000031 4.57594816489865e-05	201
465 365 0.000027 4.606234378546265e-05	202
466 395 0.000029 4.6280736114172205e-05	203
467 371 0.000028 4.6429665961368115e-05	203
468 387 0.000029 4.636820738718938e-05	203
469 377 0.000028 4.5747761641817534e-05	200
470 296 0.000022 4.470210831927885e-05	196
471 283 0.000021 4.455189212983268e-05	195
472 285 0.000021 4.4231164128769695e-05	194
473 310 0.000023 4.4768998116291985e-05	196
474 276 0.000021 4.528382087022642e-05	198
475 309 0.000023 4.541088289916804e-05	199
476 278 0.000021 4.561984205137575e-05	200
477 284 0.000021 4.564742694629783e-05	200
478 310 0.000023 4.5792211912909595e-05	201
479 285 0.000021 4.594442907918949e-05	201
480 337 0.000025 4.595700664785863e-05	201
481 288 0.000021 4.604362035937564e-05	202
482 288 0.000021 4.67043714952554e-05	205
483 326 0.000024 4.706611952140977e-05	206
484 285 0.000021 4.7499616859744905e-05	208
485 273 0.000020 4.784607170581295e-05	210
486 291 0.000022 4.823111681938856e-05	211
487 305 0.000023 4.841520668809138e-05	212
488 307 0.000023 4.8897299178102725e-05	214
489 331 0.000025 4.9145134451651396e-05	215
490 289 0.000021 4.889758503193611e-05	214
491 337 0.000025 4.886785623326361e-05	214
492 308 0.000023 4.865332293130481e-05	213
493 318 0.000024 4.896890556336679e-05	215
494 302 0.000022 4.9172004711990004e-05	216
495 300 0.000022 4.9466577087297854e-05	217
496 302 0.000022 4.951860248497474e-05	217
497 283 0.000021 4.9624082549495456e-05	218
498 296 0.000022 4.99077924791345e-05	219
499 296 0.000022 5.020307948902583e-05	220
500 337 0.000025 5.0321565902965765e-05	221
501 140 0.000010 4.6310750766678096e-05	203
502 154 0.000011 4.6443244018454114e-05	204
503 180 0.000013 4.66553475628291e-05	204
504 148 0.000011 4.697150190255786e-05	206
505 148 0.000011 4.706040244474199e-05	206
506 153 0.000011 4.701466583139967e-05	206
507 147 0.000011 4.714787371775916e-05	207
508 142 0.000011 4.77821833740504e-05	209
509 168 0.000012 4.806632208443953e-05	211
510 124 0.000009 4.793511517491376e-05	210
511 140 0.000010 4.7519483701165476e-05	208
512 166 0.000012 4.7469316353405625e-05	208
513 145 0.000011 4.7515195893664633e-05	208
514 133 0.000010 4.7461598299904105e-05	208
515 152 0.000011 4.699194045164521e-05	206
516 126 0.000009 4.700594728948129e-05	206
517 139 0.000010 4.6726096386592995e-05	205
518 143 0.000011 4.713029370700571e-05	207
519 162 0.000012 4.69460609113862e-05	206
520 143 0.000011 4.6829861328113374e-05	205
521 126 0.000009 4.664305584799336e-05	204
522 161 0.000012 4.651199186538428e-05	204
523 140 0.000010 4.655658506339304e-05	204
524 136 0.000010 4.6357059087687193e-05	203
525 139 0.000010 4.61315204131429e-05	202
526 119 0.000009 4.5876681720676186e-05	201
527 129 0.000010 4.583694803783505e-05	201
528 124 0.000009 4.565285816913223e-05	200
529 137 0.000010 4.572060552764553e-05	200
530 141 0.000010 4.5530798582274926e-05	200
531 134 0.000010 4.5414456072085414e-05	199
532 137 0.000010 4.5111879789442655e-05	198
533 129 0.000010 4.499239288708586e-05	197
534 148 0.000011 4.486390158897729e-05	197
535 112 0.000008 4.4387097394883656e-05	195
536 129 0.000010 4.414540797875286e-05	193
537 139 0.000010 4.392887369996033e-05	192
538 142 0.000011 4.3573986165807304e-05	191
539 127 0.000009 4.3455070971117285e-05	190
540 119 0.000009 4.307359903045903e-05	189
541 149 0.000011 4.2760589082897565e-05	187
542 141 0.000010 4.2347101512899696e-05	186
543 136 0.000010 4.2239763398461944e-05	185
544 144 0.000011 4.195619639573959e-05	184
545 159 0.000012 4.1414217527633154e-05	181
546 142 0.000011 4.113479540549495e-05	180
547 120 0.000009 4.066828194940333e-05	178
548 139 0.000010 4.043945595577506e-05	177
549 138 0.000010 3.995021711992898e-05	175
550 131 0.000010 3.95534519991844e-05	173
551 156 0.000012 3.919427665753052e-05	172
552 151 0.000011 3.87306217397728e-05	170
553 148 0.000011 3.8398173731540846e-05	168
554 125 0.000009 3.7728846980659404e-05	165
555 123 0.000009 3.711926368095636e-05	163
556 128 0.000010 3.6688910734788506e-05	161
557 140 0.000010 3.627813877620784e-05	159
558 151 0.000011 3.5835922895954325e-05	157
559 125 0.000009 3.5337250883606395e-05	155
560 128 0.000010 3.4660634859973515e-05	152
561 120 0.000009 3.4122086237867755e-05	149
562 152 0.000011 3.370030890670159e-05	148
563 135 0.000010 3.319935006368654e-05	145
564 116 0.000009 3.283331423003132e-05	144
565 139 0.000010 3.2250887044500276e-05	141
566 129 0.000010 3.1635443741212745e-05	138
567 116 0.000009 3.120652006421184e-05	137
568 124 0.000009 3.0655536800353636e-05	134
569 142 0.000011 3.031208341953619e-05	133
570 118 0.000009 2.947267363778801e-05	129
571 128 0.000010 2.902516946161679e-05	127
572 115 0.000009 2.8568660889693806e-05	125
573 137 0.000010 2.816860844986524e-05	123
574 129 0.000010 2.7549877827493733e-05	121
575 124 0.000009 2.6885410591779907e-05	118
576 101 0.000008 2.648978888636888e-05	116
577 138 0.000010 2.6051146179032737e-05	114
578 147 0.000011 2.5475150704752953e-05	111
579 137 0.000010 2.4971190396487315e-05	109
580 118 0.000009 2.447694911855692e-05	107
581 112 0.000008 2.3914245847529748e-05	105
582 115 0.000009 2.3553212455958845e-05	103
583 125 0.000009 2.306740386611344e-05	101
584 128 0.000010 2.2657775322866327e-05	99
585 115 0.000009 2.2169108194687026e-05	97
586 104 0.000008 2.1553807818316192e-05	94
587 103 0.000008 2.104127189504887e-05	92
588 110 0.000008 2.0769853680245567e-05	91
589 80 0.000006 2.030605583557115e-05	89
590 115 0.000009 1.996103025867006e-05	87
591 133 0.000010 1.9502377782996652e-05	85
592 118 0.000009 1.9137199510841604e-05	84
593 146 0.000011 1.8843198843200534e-05	82
594 116 0.000009 1.8484023501546664e-05	81
595 108 0.000008 1.8117701814058057e-05	79
596 115 0.000009 1.78395660341701e-05	78
597 100 0.000007 1.7460666778012356e-05	76
598 112 0.000008 1.71689529410384e-05	75
599 136 0.000010 1.681578052988571e-05	73
600 90 0.000007 1.6467324706983947e-05	72
601 105 0.000008 1.6118154249498706e-05	70
602 112 0.000008 1.59689385484694e-05	70
603 112 0.000008 1.5742399385508246e-05	69
604 123 0.000009 1.5447827010200396e-05	67
605 114 0.000008 1.5260592749330294e-05	67
606 106 0.000008 1.494958377860255e-05	65
607 103 0.000008 1.477364074415133e-05	64
608 112 0.000008 1.4645292372959457e-05	64
609 113 0.000008 1.4491931791346007e-05	63
610 113 0.000008 1.4168345251949126e-05	62
611 117 0.000009 1.3928085104985275e-05	61
612 128 0.000010 1.3815458694629823e-05	60
613 115 0.000009 1.370368984577454e-05	60
614 91 0.000007 1.3590634654669005e-05	59
615 115 0.000009 1.3310783751780713e-05	58
616 95 0.000007 1.3210734910094398e-05	58
617 95 0.000007 1.2976906474381811e-05	57
618 125 0.000009 1.2962613782712337e-05	56
619 84 0.000006 1.289057861669819e-05	56
620 104 0.000008 1.2521255463958994e-05	55
621 107 0.000008 1.2496814961204195e-05	54
622 108 0.000008 1.2398481242518216e-05	54
623 114 0.000008 1.2316584119252133e-05	54
624 120 0.000009 1.2320871926752974e-05	54
625 102 0.000008 1.2027585893695378e-05	52
626 114 0.000008 1.2031016139696051e-05	52
627 104 0.000008 1.1872653115998284e-05	52
628 100 0.000007 1.2131350835215755e-05	53
629 130 0.000010 1.2051454688783398e-05	52
630 91 0.000007 1.1911672164255948e-05	52
631 95 0.000007 1.1889661419084959e-05	52
632 91 0.000007 1.1803476488318032e-05	51
633 110 0.000008 1.1834348702324096e-05	51
634 111 0.000008 1.1803476488318032e-05	51
635 102 0.000008 1.1616956862031402e-05	51
636 100 0.000007 1.147531628758692e-05	50
637 120 0.000009 1.1444301146664162e-05	50
638 123 0.000009 1.1446587977331278e-05	50
639 107 0.000008 1.135697280056368e-05	49
640 103 0.000008 1.1256209324293891e-05	49
641 115 0.000009 1.1265356646962354e-05	49
642 102 0.000008 1.1152587309690208e-05	48
643 88 0.000007 1.1168023416693239e-05	49
644 111 0.000008 1.1055968714004566e-05	48
