Fragment_length	Count	Normalized_Frequency
347	771	0.000057
348	628	0.000047
349	619	0.000046
350	591	0.000044
351	579	0.000043
352	611	0.000045
353	677	0.000050
354	561	0.000042
355	569	0.000042
356	501	0.000037
357	536	0.000040
358	549	0.000041
359	567	0.000042
360	540	0.000040
361	491	0.000036
362	473	0.000035
363	512	0.000038
364	598	0.000044
365	547	0.000041
366	483	0.000036
367	551	0.000041
368	505	0.000038
369	508	0.000038
370	496	0.000037
371	492	0.000037
372	479	0.000036
373	568	0.000042
374	614	0.000046
375	527	0.000039
376	572	0.000043
377	532	0.000040
378	561	0.000042
379	519	0.000039
380	545	0.000041
381	470	0.000035
382	511	0.000038
383	494	0.000037
384	484	0.000036
385	494	0.000037
386	439	0.000033
387	529	0.000039
388	489	0.000036
389	500	0.000037
390	475	0.000035
391	507	0.000038
392	460	0.000034
393	473	0.000035
394	466	0.000035
395	475	0.000035
396	482	0.000036
397	508	0.000038
398	482	0.000036
399	543	0.000040
400	429	0.000032
401	514	0.000038
402	471	0.000035
403	441	0.000033
404	476	0.000035
405	443	0.000033
406	491	0.000036
407	485	0.000036
408	425	0.000032
409	467	0.000035
410	439	0.000033
411	492	0.000037
412	489	0.000036
413	450	0.000033
414	488	0.000036
415	446	0.000033
416	399	0.000030
417	450	0.000033
418	439	0.000033
419	460	0.000034
420	422	0.000031
421	433	0.000032
422	458	0.000034
423	436	0.000032
424	490	0.000036
425	451	0.000034
426	419	0.000031
427	435	0.000032
428	437	0.000032
429	431	0.000032
430	412	0.000031
431	439	0.000033
432	440	0.000033
433	444	0.000033
434	452	0.000034
435	398	0.000030
436	433	0.000032
437	442	0.000033
438	486	0.000036
439	452	0.000034
440	399	0.000030
441	408	0.000030
442	409	0.000030
443	449	0.000033
444	403	0.000030
445	441	0.000033
446	438	0.000033
447	424	0.000032
448	426	0.000032
449	400	0.000030
450	391	0.000029
451	365	0.000027
452	385	0.000029
453	399	0.000030
454	373	0.000028
455	373	0.000028
456	387	0.000029
457	378	0.000028
458	368	0.000027
459	343	0.000025
460	352	0.000026
461	381	0.000028
462	392	0.000029
463	391	0.000029
464	421	0.000031
465	365	0.000027
466	395	0.000029
467	371	0.000028
468	387	0.000029
469	377	0.000028
470	296	0.000022
471	283	0.000021
472	285	0.000021
473	310	0.000023
474	276	0.000021
475	309	0.000023
476	278	0.000021
477	284	0.000021
478	310	0.000023
479	285	0.000021
480	337	0.000025
481	288	0.000021
482	288	0.000021
483	326	0.000024
484	285	0.000021
485	273	0.000020
486	291	0.000022
487	305	0.000023
488	307	0.000023
489	331	0.000025
490	289	0.000021
491	337	0.000025
492	308	0.000023
493	318	0.000024
494	302	0.000022
495	300	0.000022
496	302	0.000022
497	283	0.000021
498	296	0.000022
499	296	0.000022
500	337	0.000025
501	140	0.000010
502	154	0.000011
503	180	0.000013
504	148	0.000011
505	148	0.000011
506	153	0.000011
507	147	0.000011
508	142	0.000011
509	168	0.000012
510	124	0.000009
511	140	0.000010
512	166	0.000012
513	145	0.000011
514	133	0.000010
515	152	0.000011
516	126	0.000009
517	139	0.000010
518	143	0.000011
519	162	0.000012
520	143	0.000011
521	126	0.000009
522	161	0.000012
523	140	0.000010
524	136	0.000010
525	139	0.000010
526	119	0.000009
527	129	0.000010
528	124	0.000009
529	137	0.000010
530	141	0.000010
531	134	0.000010
532	137	0.000010
533	129	0.000010
534	148	0.000011
535	112	0.000008
536	129	0.000010
537	139	0.000010
538	142	0.000011
539	127	0.000009
540	119	0.000009
541	149	0.000011
542	141	0.000010
543	136	0.000010
544	144	0.000011
545	159	0.000012
546	142	0.000011
547	120	0.000009
548	139	0.000010
549	138	0.000010
550	131	0.000010
551	156	0.000012
552	151	0.000011
553	148	0.000011
554	125	0.000009
555	123	0.000009
556	128	0.000010
557	140	0.000010
558	151	0.000011
559	125	0.000009
560	128	0.000010
561	120	0.000009
562	152	0.000011
563	135	0.000010
564	116	0.000009
565	139	0.000010
566	129	0.000010
567	116	0.000009
568	124	0.000009
569	142	0.000011
570	118	0.000009
571	128	0.000010
572	115	0.000009
573	137	0.000010
574	129	0.000010
575	124	0.000009
576	101	0.000008
577	138	0.000010
578	147	0.000011
579	137	0.000010
580	118	0.000009
581	112	0.000008
582	115	0.000009
583	125	0.000009
584	128	0.000010
585	115	0.000009
586	104	0.000008
587	103	0.000008
588	110	0.000008
589	80	0.000006
590	115	0.000009
591	133	0.000010
592	118	0.000009
593	146	0.000011
594	116	0.000009
595	108	0.000008
596	115	0.000009
597	100	0.000007
598	112	0.000008
599	136	0.000010
600	90	0.000007
601	105	0.000008
602	112	0.000008
603	112	0.000008
604	123	0.000009
605	114	0.000008
606	106	0.000008
607	103	0.000008
608	112	0.000008
609	113	0.000008
610	113	0.000008
611	117	0.000009
612	128	0.000010
613	115	0.000009
614	91	0.000007
615	115	0.000009
616	95	0.000007
617	95	0.000007
618	125	0.000009
619	84	0.000006
620	104	0.000008
621	107	0.000008
622	108	0.000008
623	114	0.000008
624	120	0.000009
625	102	0.000008
626	114	0.000008
627	104	0.000008
628	100	0.000007
629	130	0.000010
630	91	0.000007
631	95	0.000007
632	91	0.000007
633	110	0.000008
634	111	0.000008
635	102	0.000008
636	100	0.000007
637	120	0.000009
638	123	0.000009
639	107	0.000008
640	103	0.000008
641	115	0.000009
642	102	0.000008
643	88	0.000007
644	111	0.000008
645	99	0.000007
646	103	0.000008
647	75	0.000006
648	103	0.000008
649	82	0.000006
650	106	0.000008
651	91	0.000007
652	87	0.000006
653	99	0.000007
654	122	0.000009
655	91	0.000007
656	104	0.000008
657	79	0.000006
658	88	0.000007
659	94	0.000007
660	81	0.000006
661	78	0.000006
662	97	0.000007
663	84	0.000006
664	90	0.000007
665	95	0.000007
666	96	0.000007
667	85	0.000006
668	73	0.000005
669	105	0.000008
670	79	0.000006
671	86	0.000006
672	82	0.000006
673	94	0.000007
674	86	0.000006
675	58	0.000004
676	89	0.000007
677	89	0.000007
678	88	0.000007
679	79	0.000006
680	88	0.000007
681	75	0.000006
682	90	0.000007
683	63	0.000005
684	65	0.000005
685	70	0.000005
686	78	0.000006
687	91	0.000007
688	82	0.000006
689	72	0.000005
690	75	0.000006
691	86	0.000006
692	64	0.000005
693	66	0.000005
694	72	0.000005
695	69	0.000005
696	52	0.000004
697	63	0.000005
698	73	0.000005
699	56	0.000004
700	57	0.000004
