Fragment_length Count Normalized_Frequency Reference_Normalised_Freq
24 354 0.000026 1.3434701388555048e-05
25 1525 0.000113 6.325502259467238e-05
26 2069 0.000154 9.204164703232565e-05
27 2460 0.000183 0.00011744733525556497
28 2809 0.000209 0.00013563835857788743
29 4399 0.000327 0.00016278160932738464
30 4965 0.000369 0.0001792476476921183
31 5047 0.000375 0.00018868125297472096
32 6453 0.000480 0.0002134750710675901
33 7207 0.000536 0.00022794885114051588
34 8613 0.000640 0.00024975020837854735
35 140696 0.010459 0.0014776522150791896
36 138631 0.010305 0.0014743897652787156
37 137143 0.010195 0.001485015523973469
38 138172 0.010271 0.0015043343835954297
39 140696 0.010459 0.0015441531079519995
40 149436 0.011109 0.001625724786628769
41 154545 0.011489 0.001710407984281983
42 154015 0.011449 0.0017611524709314483
43 145186 0.010793 0.0017083165347099888
44 135159 0.010047 0.0016639347256110228
45 133165 0.009899 0.001679941682719333
46 136621 0.010156 0.0017383063179323784
47 139156 0.010345 0.0018419469130352317
48 144520 0.010743 0.00196674312156649
49 148718 0.011055 0.0021005112814394267
50 153396 0.011403 0.0022367662267359354
51 156179 0.011610 0.002364366804299661
52 156624 0.011643 0.0024951053423194194
53 154008 0.011449 0.002561330529169925
54 143068 0.010635 0.002504028126801755
55 134257 0.009980 0.0024387070956262604
56 128845 0.009578 0.0024094791128698536
57 124148 0.009229 0.0023914433081790617
58 121390 0.009024 0.0023771527604133386
59 120513 0.008959 0.0023517913795342744
60 120121 0.008930 0.002319703143320973
61 117967 0.008769 0.0022587755426377574
62 116244 0.008641 0.002198585444844687
63 112416 0.008357 0.0021164779331572293
64 109190 0.008117 0.002007235889262192
65 103843 0.007719 0.0019105544057332054
66 99295 0.007381 0.001858725961347527
67 98568 0.007327 0.0018383688806026957
68 96617 0.007182 0.0018269437316628687
69 94503 0.007025 0.0018190244370626467
70 94844 0.007050 0.001799367126501953
71 93428 0.006945 0.0018019049368347849
72 95242 0.007080 0.0018425553529196014
73 96202 0.007151 0.0018783176684534577
74 93881 0.006979 0.0018156465023134835
75 88607 0.006587 0.0017111594940099637
76 86749 0.006449 0.0016421776757171668
77 83382 0.006198 0.0015993822124665956
78 82544 0.006136 0.001603955873800827
79 81305 0.006044 0.0016426975009131855
80 83229 0.006187 0.0016842059072789204
81 84091 0.006251 0.0017343300911099307
82 87119 0.006476 0.0018517002458304805
83 90952 0.006761 0.0020275296533829278
84 90263 0.006710 0.002004516704672075
85 84204 0.006260 0.0017955778480865422
86 79251 0.005891 0.0015992520060454866
87 74865 0.005565 0.001497306381247716
88 73043 0.005430 0.0014724512475075848
89 72531 0.005392 0.0015029812944750806
90 72310 0.005375 0.0015874355232077494
91 74620 0.005547 0.0016512568222463663
92 75393 0.005605 0.001747204233131209
93 80266 0.005967 0.0019098364838306477
94 81532 0.006061 0.0020472960171810596
95 82519 0.006134 0.002038709682660623
96 76253 0.005668 0.0018613901190747168
97 71596 0.005322 0.0016948543913534284
98 70329 0.005228 0.0016458104491587967
99 69730 0.005184 0.0016824476203497417
100 68894 0.005121 0.001761781349364905
101 69324 0.005153 0.0018419137539905587
102 71252 0.005297 0.0019067266799772035
103 71408 0.005308 0.001955763761679834
104 70214 0.005220 0.0019788517470219515
105 69584 0.005173 0.0019634696663934303
106 68270 0.005075 0.0019275306931905393
107 66436 0.004939 0.0018740661643894562
108 65493 0.004869 0.0018447582854866174
109 63074 0.004689 0.0018502662600752822
110 62299 0.004631 0.0018778838852612893
111 61337 0.004560 0.0019237905816344714
112 63377 0.004711 0.0019777303424335646
113 63350 0.004709 0.0020616684620700485
114 62815 0.004670 0.002157347313278422
115 63345 0.004709 0.002149187758531236
116 60176 0.004473 0.0020405129915685607
117 56540 0.004203 0.0019312289271600155
118 55972 0.004161 0.0019090396662700744
119 57060 0.004242 0.0019685051245955025
120 57220 0.004254 0.0021004219521164927
121 56119 0.004172 0.0022855414663271807
122 58095 0.004319 0.002517518712614738
123 61333 0.004559 0.002882306937214127
124 65968 0.004904 0.0034322378301847086
125 68006 0.005055 0.003931602466370944
126 65511 0.004870 0.003985093579578531
127 63692 0.004735 0.003552271427997865
128 57769 0.004294 0.003043953278042205
129 54716 0.004067 0.0028234855075753252
130 57003 0.004237 0.003062901099388426
131 56301 0.004185 0.0034299560019596773
132 60862 0.004524 0.003938230416278828
133 62064 0.004614 0.00450815778538342
134 67641 0.005028 0.005198637291154938
135 72825 0.005414 0.0060504032477782955
136 76723 0.005703 0.006845863860204346
137 74204 0.005516 0.007149275407748265
138 71523 0.005317 0.006921896406224611
139 66474 0.004942 0.006637384513655986
140 68827 0.005116 0.006874006313028456
141 73278 0.005447 0.007675362946621998
142 78307 0.005821 0.008729761681339399
143 82843 0.006158 0.009878794328577219
144 87805 0.006527 0.010790603025342536
145 86705 0.006445 0.011145053060203561
146 84715 0.006298 0.011057616661354056
147 81043 0.006025 0.010893154660267091
148 79392 0.005902 0.010845359041762872
149 77495 0.005761 0.010877083957753936
150 75467 0.005610 0.01101011704449431
151 74271 0.005521 0.011337223302141717
152 74610 0.005546 0.01178984969315344
